,WindGustDir,WindDir3pm,WindDir9am,RainToday,RainTomorrow
23146,E,ESE,ESE,No,No
23147,E,ESE,E,No,Yes
23148,SE,SE,ESE,Yes,No
23149,E,E,E,No,No
23150,E,ESE,ESE,No,No
23151,E,E,E,No,No
23152,E,E,E,No,No
23153,E,E,E,No,No
23154,E,E,E,No,No
23155,E,E,E,No,No
23156,E,ENE,E,No,Yes
23157,E,ENE,ENE,Yes,Yes
23158,E,E,E,Yes,Yes
23159,ENE,E,E,Yes,No
23160,NE,E,E,No,No
23161,E,ENE,ENE,No,Yes
23162,W,E,ENE,Yes,Yes
23163,ENE,ENE,ENE,No,Yes
23164,NE,SW,NW,Yes,No
23165,SSW,WSW,SW,No,No
23166,WSW,WSW,WSW,No,No
23167,SSW,S,S,No,No
23168,WSW,SSW,SW,No,No
23169,SSW,SSW,S,No,No
23170,E,SE,ESE,No,No
23171,E,SE,E,No,No
23172,E,E,E,No,Yes
23173,NNE,NNE,NNE,Yes,No
23174,NNE,NNW,NNE,No,Yes
23175,ENE,ESE,SSE,Yes,Yes
23176,ENE,NE,ENE,Yes,Yes
23177,SE,SE,ESE,Yes,Yes
23178,SE,ESE,ESE,Yes,No
23179,SE,ESE,ESE,No,No
23180,ESE,E,E,No,No
23181,ENE,NE,E,No,No
23182,WSW,WNW,N,No,No
23183,NW,SSW,NNW,No,No
23184,SW,SE,WSW,No,No
23185,ENE,S,NE,No,Yes
23186,SSE,W,NNE,Yes,No
23187,SSE,ESE,SSE,No,No
23188,SE,ESE,SE,No,No
23189,SE,S,SSE,No,Yes
23190,SSE,SE,SE,Yes,Yes
23191,SE,ESE,SE,Yes,No
23192,ESE,ESE,E,No,No
23193,ENE,ESE,ESE,No,Yes
23194,E,E,E,Yes,No
23195,E,E,E,No,No
23196,ENE,ENE,ESE,No,Yes
23197,NNW,WNW,NNW,Yes,Yes
23198,ESE,ESE,ESE,Yes,Yes
23199,SE,ESE,ESE,Yes,No
23200,ESE,ESE,ESE,No,No
23201,ESE,ESE,ESE,No,Yes
23202,E,E,NE,Yes,No
23203,E,E,E,No,No
23204,ENE,E,E,No,No
23205,W,ENE,ENE,No,No
23206,NE,NE,N,No,No
23207,NNE,NNE,NNE,No,No
23208,NE,NE,NE,No,Yes
23209,ENE,ENE,ENE,Yes,Yes
23210,E,E,E,Yes,Yes
23211,ESE,ESE,E,Yes,Yes
23212,SE,S,SSE,Yes,Yes
23213,WSW,W,WSW,Yes,No
23214,WNW,WNW,NW,No,Yes
23215,WNW,SSE,N,Yes,No
23216,SSE,SE,SSE,No,No
23217,ESE,SE,ESE,No,No
23218,ESE,ESE,ESE,No,No
23219,SE,SSE,SE,No,No
23220,SSE,SE,SE,No,No
23221,NE,ENE,E,No,No
23222,N,NNW,NE,No,Yes
23223,WSW,WSW,WSW,Yes,No
23224,SSW,SW,SW,No,Yes
23225,SSW,SW,S,Yes,Yes
23226,SSW,SSW,SSW,Yes,No
23227,W,WNW,W,No,Yes
23228,WSW,WSW,W,Yes,Yes
23229,WSW,WSW,WSW,Yes,No
23230,NNW,NW,NW,No,Yes
23231,NW,W,WNW,Yes,No
23232,WSW,WSW,W,No,No
23233,SW,SW,SW,No,Yes
23234,SW,SSW,SSW,Yes,No
23235,S,SSW,SW,No,Yes
23236,SSE,SE,S,Yes,No
23237,SE,ESE,SE,No,No
23238,ENE,E,ESE,No,No
23239,ENE,ENE,E,No,Yes
23240,ENE,ENE,ENE,Yes,Yes
23241,ENE,N,N,Yes,Yes
23242,W,W,WSW,Yes,No
23243,SW,SSW,S,No,No
23244,WSW,SW,WSW,No,No
23245,S,SSE,SSE,No,No
23246,SSE,SSW,SSW,No,No
23247,SE,SE,ESE,No,No
23248,ESE,ESE,ESE,No,No
23249,SE,SE,ESE,No,No
23250,SE,SE,ESE,No,Yes
23251,SE,SE,ESE,Yes,No
23252,W,ESE,ESE,No,Yes
23253,ENE,E,E,Yes,No
23254,NNE,NNE,ENE,No,No
23255,NE,NNE,NNE,No,Yes
23256,W,NW,WNW,Yes,Yes
23257,SW,SW,SSW,Yes,No
23258,WNW,NW,NE,No,Yes
23259,W,W,NW,Yes,No
23260,W,W,WSW,No,No
23261,WSW,WSW,WSW,No,No
23262,N,N,NNE,No,Yes
23263,W,SW,W,Yes,Yes
23264,S,S,S,Yes,No
23265,SSE,S,SSE,No,No
23266,WNW,N,NE,No,Yes
23267,WNW,WSW,WSW,Yes,No
23268,WSW,S,SSW,No,No
23269,NE,ESE,N,No,No
23270,NE,NNE,NNE,No,Yes
23271,W,WSW,W,Yes,No
23272,W,SW,WSW,No,Yes
23273,WSW,SW,SW,Yes,Yes
23274,SW,SSE,SW,Yes,No
23275,SSE,SE,SE,No,Yes
23276,E,ENE,E,Yes,No
23277,NNE,NW,N,No,Yes
23278,W,S,S,Yes,No
23279,SSW,SW,S,No,No
23280,SSW,S,SSW,No,Yes
23281,SSW,S,SE,Yes,No
23282,S,SSE,S,No,No
23283,S,SW,S,No,No
23284,SW,WSW,W,No,No
23285,NE,NE,E,No,Yes
23286,W,W,NW,Yes,No
23287,W,WNW,WNW,No,No
23288,WNW,S,WNW,No,Yes
23289,W,W,NNE,Yes,Yes
23290,W,SW,S,Yes,No
23291,N,NE,ENE,No,Yes
23292,W,S,WSW,Yes,No
23293,SSW,S,S,No,No
23294,WSW,W,SW,No,No
23295,SW,SW,SW,No,No
23296,SW,WSW,WSW,No,No
23297,S,SSE,S,No,No
23298,NNE,N,NNW,No,No
23299,N,WNW,NW,No,Yes
23300,W,S,SSE,Yes,No
23301,SSW,SW,SW,No,No
23302,SSW,S,S,No,No
23303,S,SSW,S,No,Yes
23304,SSW,SSW,SW,Yes,Yes
23305,SSE,S,S,Yes,No
23306,SSW,SSW,S,No,No
23307,NNE,WNW,N,No,No
23308,SSE,NNE,NE,No,No
23309,E,S,ESE,No,No
23310,S,S,SSW,No,Yes
23311,S,S,SSE,Yes,Yes
23312,ESE,ESE,ESE,Yes,Yes
23313,E,ESE,ESE,Yes,No
23314,SE,SE,ESE,No,Yes
23315,ENE,ESE,E,Yes,No
23316,S,WSW,SSE,No,Yes
23317,NE,NE,NE,Yes,Yes
23318,N,NNE,NE,Yes,No
23319,NNE,N,NNE,No,No
23320,NNW,NW,NNW,No,Yes
23321,W,W,WSW,Yes,Yes
23322,NNE,N,NW,Yes,Yes
23323,SW,SW,NE,Yes,Yes
23324,S,S,SSE,Yes,No
23325,SSE,SSE,S,No,No
23326,SSE,ESE,SE,No,No
23327,ENE,N,NE,No,No
23328,NE,NE,NE,No,No
23329,NNE,NNE,NNE,No,No
23330,N,WNW,NNW,No,Yes
23331,SSE,SE,SSE,Yes,Yes
23332,SE,SE,SE,Yes,No
23333,SSE,SE,SE,No,No
23334,S,SSE,SSE,No,No
23335,SE,SSE,SSE,No,No
23336,SE,SE,E,No,No
23337,SE,ESE,SE,No,Yes
23338,ENE,ENE,NE,Yes,Yes
23339,E,ENE,ENE,Yes,No
23340,NNE,NNE,NE,No,No
23341,NE,NE,NNE,No,Yes
23342,N,N,N,Yes,No
23343,W,SW,WSW,No,No
23344,W,SSW,SSW,No,No
23345,NNW,N,WNW,No,Yes
23346,WNW,WSW,WSW,Yes,No
23347,SW,S,SSW,No,No
23348,W,NNE,SSE,No,No
23349,NW,N,N,No,Yes
23350,WSW,W,WNW,Yes,Yes
23351,SW,SW,SW,Yes,Yes
23352,WSW,SW,NNW,Yes,Yes
23353,WSW,SW,SSE,Yes,Yes
23354,SW,W,W,Yes,Yes
23355,SW,SW,WSW,Yes,Yes
23356,W,W,WSW,Yes,No
23357,NW,N,NW,No,No
23358,WNW,SW,SW,No,No
23359,WNW,WSW,WSW,No,No
23360,W,W,N,No,No
23361,W,W,WSW,No,No
23362,W,SW,SW,No,No
23363,SW,SW,SW,No,No
23364,S,SSW,S,No,No
23365,WSW,W,WSW,No,Yes
23366,W,ESE,SE,Yes,No
23367,ENE,SSW,E,No,No
23368,W,S,W,No,No
23369,NE,NE,E,No,Yes
23370,SSE,SSE,SSW,Yes,No
23371,S,S,S,No,No
23372,SE,SE,SSE,No,No
23373,NE,NNE,ESE,No,No
23374,NE,NE,NE,No,No
23375,NE,NNE,NNE,No,No
23376,SW,WSW,NE,No,Yes
23377,SE,SE,SE,Yes,No
23378,ESE,SE,ESE,No,No
23379,NE,NNE,NNE,No,No
23380,W,N,N,No,Yes
23381,SSW,WSW,SW,Yes,No
23382,SSW,S,SW,No,No
23383,SE,ESE,SE,No,No
23384,ENE,SSE,NE,No,Yes
23385,SSW,SSW,SSE,Yes,Yes
23386,SE,SE,SE,Yes,No
23387,ENE,ENE,E,No,No
23388,N,NW,NNE,No,Yes
23389,NW,NNW,NW,Yes,Yes
23390,W,S,SSE,Yes,No
23391,NW,NNW,N,No,No
23392,WNW,SSW,SW,No,No
23393,SSE,SSE,SSE,No,No
23394,W,SE,N,No,No
23395,NNE,NNE,N,No,No
23396,NNE,NNE,NE,No,No
23397,NNE,N,NNE,No,Yes
23398,NNW,WSW,WNW,Yes,Yes
23399,WSW,WSW,SW,Yes,No
23400,SSW,SSW,SW,No,Yes
23401,SSW,SSE,S,Yes,No
23402,SE,SSE,ESE,No,No
23403,SSE,SE,E,No,No
23404,W,E,E,No,No
23405,E,E,E,No,No
23406,ENE,NE,ENE,No,Yes
23407,N,NNE,NE,Yes,Yes
23408,SSW,SSW,SSW,No,Yes
23409,SSE,SSE,S,Yes,No
23410,E,E,ENE,No,No
23411,E,E,E,No,No
23412,SSE,SSE,SE,No,No
23413,SE,SE,SE,No,No
23414,SSE,S,SSE,No,No
23415,E,SE,SE,No,No
23416,ENE,SE,ESE,No,No
23417,NNE,N,NNE,No,No
23418,W,WNW,W,No,Yes
23419,SSE,SSE,SE,No,Yes
23420,SSE,SE,SE,Yes,No
23421,ESE,SE,SE,No,No
23422,SSE,SE,ESE,No,No
23423,ENE,ESE,ENE,No,No
23424,ENE,NE,ENE,No,No
23425,E,SE,SSE,No,No
23426,E,E,E,No,Yes
23427,E,E,ESE,Yes,No
23428,S,SSW,SSW,No,No
23429,NE,NE,ENE,No,No
23430,ENE,E,NE,No,Yes
23431,SE,ESE,SE,Yes,Yes
23432,E,E,E,Yes,Yes
23433,E,ESE,SE,No,Yes
23434,E,E,ESE,Yes,No
23435,E,E,ESE,No,No
23436,E,E,E,No,No
23437,E,ENE,ENE,No,No
23438,SSE,ESE,SE,No,No
23439,ENE,NE,ENE,No,No
23440,W,SW,WNW,No,No
23441,SSE,SSE,WSW,No,Yes
23442,SSE,SE,ESE,Yes,No
23443,SSE,SE,SE,No,No
23444,SW,W,WSW,No,No
23445,WNW,SSE,S,No,Yes
23446,SSE,SE,SE,Yes,No
23447,SE,E,ESE,No,No
23448,SE,S,SSE,No,No
23449,SW,SE,NE,No,No
23450,ENE,E,ENE,No,Yes
23451,E,E,ESE,Yes,No
23452,ENE,ENE,E,No,No
23453,W,E,ESE,No,No
23454,W,ENE,NE,No,No
23455,ENE,ESE,E,No,No
23456,ENE,E,ESE,No,No
23457,E,E,E,No,No
23458,E,ESE,E,No,No
23459,ESE,ESE,ESE,No,No
23460,SE,ESE,SE,No,No
23461,ESE,ESE,ESE,No,No
23462,NNE,NNW,WSW,No,No
23463,N,NNW,N,No,Yes
23464,NNE,NW,NNW,Yes,No
23465,NNE,NNE,NNE,No,Yes
23466,SE,SE,SSE,Yes,Yes
23467,ENE,E,E,No,Yes
23468,ENE,E,ENE,Yes,No
23469,E,E,SE,No,No
23470,E,E,ESE,No,No
23471,SE,ESE,ESE,No,No
23472,E,E,E,No,Yes
23473,ENE,ENE,E,Yes,No
23474,E,E,E,No,No
23475,E,E,E,No,No
23476,ENE,E,E,No,No
23477,NNE,NNE,NE,No,Yes
23478,NNE,W,W,Yes,Yes
23479,NNE,NNE,WNW,Yes,Yes
23480,WSW,W,WNW,Yes,Yes
23481,WSW,WSW,W,No,Yes
23482,SE,ESE,SE,Yes,Yes
23483,ESE,ESE,ESE,Yes,No
23484,E,E,E,No,No
23485,ENE,E,E,No,Yes
23486,SE,ESE,ESE,No,No
23487,ENE,E,E,No,No
23488,E,ESE,E,No,No
23489,SSE,SE,ESE,No,No
23490,NNE,E,ENE,No,No
23491,SW,SW,SW,No,Yes
23492,SSW,SSW,SSW,Yes,No
23493,SSE,SSE,SSW,No,No
23494,S,SE,SW,No,No
23495,ENE,E,E,No,No
23496,ENE,ENE,ENE,No,No
23497,ENE,ENE,NE,No,No
23498,NE,ENE,ENE,No,No
23499,NE,NE,NE,No,No
23500,NNE,WSW,NNW,No,Yes
23501,N,S,SSW,Yes,No
23502,ESE,ESE,ESE,No,No
23503,ESE,E,ENE,No,No
23504,ENE,E,E,No,No
23505,ENE,E,E,No,No
23506,NE,NE,ENE,No,No
23507,ENE,ENE,NE,No,Yes
23508,ENE,SSE,SE,Yes,Yes
23509,S,SSW,SSW,Yes,No
23510,SW,SE,WSW,No,Yes
23511,S,S,SE,Yes,No
23512,SSW,SW,SSW,No,No
23513,SE,SE,SE,No,No
23514,ESE,ESE,ESE,No,No
23515,ESE,ESE,SE,No,No
23516,SE,ESE,ESE,No,No
23517,E,ESE,E,No,Yes
23518,E,E,E,Yes,Yes
23519,ENE,ESE,ESE,Yes,No
23520,ESE,SE,ESE,No,No
23521,SE,SE,SE,No,No
23522,E,E,E,No,No
23523,NNE,N,NNE,No,No
23524,NNE,NNE,NNE,No,Yes
23525,SW,S,ENE,Yes,Yes
23526,S,S,S,Yes,No
23527,SE,SE,SE,No,No
23528,ESE,SE,ESE,No,No
23529,ENE,SSE,E,No,Yes
23530,ESE,SE,SE,Yes,No
23531,SE,ESE,ESE,No,No
23532,E,ESE,E,No,No
23533,ENE,E,ENE,No,No
23534,ENE,ENE,ENE,No,No
23535,ENE,ENE,ENE,No,Yes
23536,NE,NE,NE,Yes,Yes
23537,ENE,W,NE,Yes,Yes
23538,S,SSE,S,Yes,No
23539,SE,SE,SE,No,No
23540,ENE,E,E,No,No
23541,NE,ENE,NE,No,Yes
23542,NE,W,NNE,Yes,No
23543,SSE,S,SSW,No,No
23544,SE,SE,SE,No,No
23545,ESE,SE,SE,No,No
23546,E,ESE,ESE,No,No
23547,E,E,E,No,No
23548,E,E,E,No,Yes
23549,NE,E,ENE,Yes,Yes
23550,ENE,NE,ENE,Yes,Yes
23551,S,S,SSW,Yes,No
23552,SSW,S,S,No,No
23553,S,S,S,No,No
23554,SE,NE,ESE,No,No
23555,WSW,W,WNW,No,Yes
23556,SE,SSE,SSW,Yes,No
23557,SW,SW,NNE,No,Yes
23558,SW,SW,SW,Yes,No
23559,SW,SW,WSW,No,No
23560,S,SSE,SSE,No,Yes
23561,SW,S,SSW,Yes,No
23562,SW,WSW,SW,No,No
23563,ENE,ENE,NE,No,No
23564,ESE,ENE,E,No,Yes
23565,ENE,ESE,E,Yes,Yes
23566,SE,SE,ESE,Yes,No
23567,ESE,SE,E,No,No
23568,E,ESE,E,No,No
23569,ENE,E,E,No,No
23570,E,ESE,ESE,No,Yes
23571,E,ESE,E,Yes,No
23572,E,ESE,E,No,Yes
23573,E,ENE,E,Yes,Yes
23574,ENE,ENE,ENE,Yes,Yes
23575,NNE,NE,NE,Yes,Yes
23576,ENE,NE,NE,Yes,Yes
23577,W,W,WNW,Yes,Yes
23578,S,SW,WSW,Yes,Yes
23579,SSW,S,SSW,Yes,No
23580,SW,SW,SW,No,Yes
23581,SSW,SSW,SW,Yes,No
23582,WNW,W,NNE,No,No
23583,ENE,N,NNE,No,No
23584,NW,NW,N,No,No
23585,E,E,SSE,No,No
23586,ENE,ENE,NE,No,No
23587,W,W,NW,No,No
23588,S,SE,NE,No,Yes
23589,NNE,NNE,W,Yes,Yes
23590,NNW,WNW,NNE,Yes,No
23591,ESE,ESE,S,No,Yes
23592,SSW,SSW,E,Yes,Yes
23593,NW,WNW,NNW,Yes,No
23594,WSW,WSW,W,No,No
23595,S,SE,SSW,No,No
23596,E,E,SSE,No,No
23597,SE,N,N,No,No
23598,NW,NW,NNE,No,No
23599,SE,SE,SE,No,No
23600,SSE,SE,S,No,No
23601,ENE,E,SSW,No,No
23602,ENE,NE,N,No,No
23603,SE,ESE,S,No,No
23604,S,WSW,SSE,No,No
23605,NE,NNE,NNE,No,No
23606,E,NE,NW,No,No
23607,W,NNE,NW,No,Yes
23608,NE,NNE,E,Yes,No
23609,ESE,ESE,S,No,Yes
23610,WNW,W,NNW,Yes,No
23611,WNW,WNW,W,No,No
23612,NW,WNW,NNE,No,No
23613,SE,SE,SE,No,No
23614,ENE,NNE,SSW,No,No
23615,NE,NNE,NW,No,No
23616,NW,W,SSE,No,No
23617,NW,NE,NNW,No,No
23618,SE,SE,S,No,Yes
23619,E,ENE,S,Yes,No
23620,NE,E,SSE,No,No
23621,ENE,E,NE,No,Yes
23622,SE,SE,NNW,Yes,No
23623,NNW,NE,ENE,No,No
23624,NE,NE,SE,No,No
23625,SE,W,S,No,No
23626,SSE,NNE,SE,No,No
23627,ESE,ENE,S,No,No
23628,ENE,ENE,NNE,No,No
23629,ENE,NE,N,No,No
23630,NE,NW,SSE,No,No
23631,S,WNW,N,No,Yes
23632,N,N,N,Yes,No
23633,NNE,ENE,SE,No,No
23634,WNW,W,NNW,No,No
23635,SSE,SE,SSE,No,No
23636,SE,ESE,S,No,Yes
23637,ENE,SSE,SSW,Yes,No
23638,ENE,NE,NE,No,No
23639,ESE,NNE,WNW,No,No
23640,E,NNE,SSE,No,No
23641,ENE,SE,SE,No,No
23642,SE,SE,SSE,No,No
23643,ENE,NE,NE,No,No
23644,SE,ESE,SSE,No,No
23645,N,NE,E,No,No
23646,NE,ENE,SE,No,No
23647,NE,ENE,SE,No,No
23648,NE,NE,SE,No,No
23649,SSE,NNE,SE,No,No
23650,S,ESE,S,No,Yes
23651,S,SSE,S,Yes,Yes
23652,S,SW,SSW,Yes,Yes
23653,ESE,SSE,SSW,Yes,No
23654,WSW,SE,SSW,No,Yes
23655,SSW,S,SSW,Yes,Yes
23656,SE,SSW,SSW,Yes,Yes
23657,SSE,SSE,SSW,Yes,Yes
23658,SE,SSE,SSW,Yes,Yes
23659,SW,SW,SW,Yes,No
23660,SSE,N,NNW,No,No
23661,SSE,E,N,No,No
23662,SE,ESE,SSW,No,Yes
23663,ENE,ENE,SSW,Yes,No
23664,SW,NE,NNW,No,Yes
23665,ESE,E,N,Yes,No
23666,SE,ENE,N,No,No
23667,SE,S,SSW,No,No
23668,SE,NE,S,No,No
23669,SSW,NNE,SSE,No,No
23670,E,SE,NNE,No,No
23671,NE,NE,N,No,No
23672,N,NNE,N,No,No
23673,WNW,WSW,N,No,No
23674,ENE,SE,SW,No,No
23675,SE,NE,N,No,No
23676,ESE,NNW,SSW,No,No
23677,SSE,SE,SSW,No,Yes
23678,SSW,ESE,SSW,Yes,No
23679,E,E,S,No,No
23680,SSE,SE,SSW,No,Yes
23681,ENE,N,N,Yes,No
23682,WNW,E,S,No,Yes
23683,NW,NW,N,Yes,Yes
23684,SSE,NNE,S,Yes,No
23685,WNW,NE,N,No,No
23686,ESE,NE,NNE,No,No
23687,NNE,N,N,No,No
23688,ENE,NNE,NE,No,No
23689,NE,ENE,SSE,No,No
23690,E,ESE,SE,No,No
23691,SSE,NE,NNE,No,No
23692,NE,ENE,S,No,No
23693,N,ENE,ESE,No,No
23694,WNW,N,E,No,Yes
23695,SSE,NNW,N,Yes,No
23696,SSE,ESE,SSW,No,No
23697,ENE,ENE,NNW,No,No
23698,E,NE,N,No,No
23699,SE,SE,S,No,Yes
23700,SSE,SE,SSE,Yes,Yes
23701,SE,SE,SSE,Yes,Yes
23702,NNE,NNE,SSW,Yes,Yes
23703,NE,NNE,N,Yes,Yes
23704,SE,ESE,WNW,Yes,No
23705,N,N,NNE,No,No
23706,SSW,E,S,No,No
23707,SSE,ESE,SSW,No,No
23708,E,ENE,NNE,No,No
23709,NNE,N,E,No,No
23710,N,NW,N,No,No
23711,NNE,N,NNE,No,Yes
23712,N,NW,N,Yes,No
23713,SW,SSW,S,No,Yes
23714,S,N,ESE,Yes,No
23715,WSW,WNW,SE,No,No
23716,ESE,NNE,ENE,No,No
23717,SE,SE,SSW,No,No
23718,S,SSE,SSW,No,No
23719,SSE,SSE,SSW,No,Yes
23720,S,S,SW,Yes,Yes
23721,SSW,SSE,SSW,Yes,Yes
23722,SSE,SSE,SW,Yes,No
23723,SSW,N,S,No,No
23724,W,SSW,N,No,No
23725,WNW,W,NNW,No,No
23726,W,WNW,NW,No,No
23727,WNW,WSW,W,No,No
23728,W,W,N,No,No
23729,SE,SW,E,No,No
23730,SW,SW,SSW,No,No
23731,NNE,ENE,N,No,No
23732,SE,SE,NE,No,No
23733,E,NW,S,No,No
23734,SSW,WSW,S,No,No
23735,S,E,SSW,No,No
23736,NNE,NE,W,No,No
23737,SE,SSE,SSW,No,No
23738,SW,ESE,SW,No,No
23739,SW,NW,N,No,No
23740,S,SW,SSW,No,No
23741,ENE,SE,N,No,No
23742,SSE,NNW,N,No,No
23743,W,W,N,No,No
23744,W,W,NE,No,No
23745,WNW,W,N,No,No
23746,NW,WSW,NW,No,No
23747,SE,SE,SE,No,No
23748,NNE,E,N,No,No
23749,ENE,NNE,N,No,Yes
23750,SSW,SSW,SW,Yes,Yes
23751,SE,SE,SW,Yes,Yes
23752,SE,SSW,SE,Yes,Yes
23753,ESE,ESE,S,Yes,Yes
23754,E,E,N,Yes,No
23755,N,ESE,N,No,No
23756,NNW,NNW,SE,No,No
23757,SSW,SE,N,No,Yes
23758,SE,SSE,SE,Yes,No
23759,S,S,WSW,No,No
23760,SSE,SSW,SW,No,Yes
23761,NE,SSW,SSW,Yes,No
23762,NNE,SE,SSW,No,No
23763,S,NW,ESE,No,Yes
23764,SSE,N,S,Yes,No
23765,NNW,NE,N,No,No
23766,W,NNW,N,No,No
23767,NW,WNW,N,No,Yes
23768,NW,NW,NE,Yes,No
23769,WNW,W,ENE,No,No
23770,WNW,WNW,NW,No,No
23771,WSW,WSW,W,No,No
23772,WSW,SW,NW,No,No
23773,N,NE,N,No,No
23774,N,NNE,N,No,No
23775,SW,ENE,N,No,No
23776,WNW,W,ESE,No,No
23777,SW,SSE,SW,No,No
23778,SW,S,S,No,No
23779,S,SSE,SSW,No,Yes
23780,SE,SE,S,Yes,Yes
23781,NNW,ESE,N,Yes,Yes
23782,WSW,NE,NE,Yes,Yes
23783,WNW,NNW,N,Yes,No
23784,NW,NW,NNW,No,No
23785,SW,NNW,N,No,No
23786,NW,NW,W,No,No
23787,NNW,NW,N,No,No
23788,SSW,SE,N,No,No
23789,W,S,NNE,No,No
23790,W,W,NE,No,No
23791,N,NNE,N,No,No
23792,NW,W,NE,No,No
23793,W,WNW,NW,No,No
23794,W,W,WSW,No,No
23795,WSW,W,N,No,No
23796,S,SSE,E,No,No
23797,SSW,WNW,N,No,No
23798,S,SSE,SSW,No,Yes
23799,S,SE,SW,Yes,No
23800,SE,SW,N,No,Yes
23801,SE,SE,N,Yes,No
23802,NNE,NNE,N,No,No
23803,NNW,NNW,S,No,No
23804,NW,NE,NW,No,No
23805,WNW,W,NNE,No,No
23806,N,N,W,No,No
23807,SSW,S,SSW,No,Yes
23808,SW,SSW,SSW,Yes,No
23809,WNW,NW,N,No,No
23810,W,NNW,N,No,No
23811,NW,ENE,N,No,No
23812,NW,WNW,N,No,No
23813,WNW,WNW,NE,No,Yes
23814,SW,SSW,SW,Yes,No
23815,NNE,NE,N,No,No
23816,SE,N,N,No,No
23817,S,NW,NE,No,Yes
23818,W,NW,N,Yes,No
23819,W,W,N,No,No
23820,WSW,NW,N,No,No
23821,W,NE,N,No,No
23822,WSW,WSW,WNW,No,No
23823,WSW,N,N,No,No
23824,NE,N,N,No,No
23825,SW,SW,NNW,No,No
23826,W,W,NE,No,No
23827,E,N,N,No,No
23828,NE,NE,N,No,No
23829,W,WNW,NNW,No,No
23830,SSW,WSW,SSW,No,No
23831,N,N,SE,No,No
23832,W,SW,N,No,No
23833,W,N,SE,No,Yes
23834,W,NW,ENE,Yes,No
23835,NNW,N,SSW,No,No
23836,N,NNE,N,No,No
23837,N,N,WNW,No,No
23838,W,NNE,N,No,No
23839,WNW,W,SW,No,No
23840,SSE,SE,N,No,No
23841,NNE,NE,NE,No,No
23842,NNE,NE,S,No,No
23843,WNW,NW,WNW,No,No
23844,SW,NE,N,No,No
23845,WNW,SE,N,No,Yes
23846,WNW,W,WSW,Yes,No
23847,W,NNW,WSW,No,No
23848,NW,WNW,NW,No,No
23849,WNW,NW,N,No,No
23850,WNW,N,N,No,No
23851,WNW,WNW,SSE,No,No
23852,WSW,W,NW,No,No
23853,S,NNE,SW,No,No
23854,ESE,ENE,SSW,No,No
23855,NNE,E,N,No,Yes
23856,NW,NW,N,Yes,No
23857,NE,ESE,S,No,No
23858,ENE,NE,NNW,No,No
23859,WSW,N,NNW,No,No
23860,W,WNW,ESE,No,No
23861,W,WNW,WSW,No,No
23862,WNW,WNW,SSW,No,No
23863,NE,NE,N,No,No
23864,NNE,NNE,NNW,No,No
23865,NW,WNW,N,No,No
23866,SSE,SE,SE,No,No
23867,NNE,ENE,W,No,No
23868,SE,ESE,NW,No,No
23869,N,NNW,N,No,No
23870,ESE,ESE,SSW,No,No
23871,NE,NE,NE,No,No
23872,SW,NW,NW,No,No
23873,NNE,NNE,S,No,No
23874,NW,NNW,NW,No,Yes
23875,WNW,NW,NW,Yes,No
23876,N,W,SE,No,No
23877,N,NE,NW,No,No
23878,NW,WNW,W,No,No
23879,WNW,WSW,W,No,No
23880,W,WSW,W,No,No
23881,SE,NNW,SE,No,No
23882,WSW,NE,WNW,No,No
23883,WNW,WNW,N,No,No
23884,SSW,SE,S,No,Yes
23885,SSW,SSW,SW,Yes,Yes
23886,SW,WSW,SSW,Yes,Yes
23887,SSW,NW,S,Yes,Yes
23888,NNE,N,SSW,Yes,No
23889,SW,SW,S,No,No
23890,SSW,S,SSW,No,No
23891,S,S,SSW,No,No
23892,SE,ESE,SSW,No,Yes
23893,N,NNE,WNW,Yes,No
23894,NW,WSW,SE,No,No
23895,WNW,NW,W,No,No
23896,WNW,W,SSE,No,No
23897,WNW,W,N,No,No
23898,E,WSW,SW,No,No
23899,SE,NNE,SSE,No,No
23900,ENE,NNW,S,No,No
23901,SW,NE,SE,No,No
23902,WNW,NNE,N,No,No
23903,S,W,NE,No,No
23904,ESE,ENE,NE,No,No
23905,W,E,ENE,No,No
23906,ESE,E,SSW,No,No
23907,SSW,SSW,SW,No,Yes
23908,SSE,SE,SSW,Yes,Yes
23909,SSW,WNW,S,Yes,No
23910,SSE,S,N,No,No
23911,ESE,ENE,SSW,No,No
23912,E,E,ESE,No,No
23913,ENE,ESE,NW,No,No
23914,NE,NE,NE,No,No
23915,SE,SE,N,No,No
23916,NW,WNW,NNW,No,No
23917,SE,E,E,No,No
23918,ESE,SE,S,No,Yes
23919,ENE,SSW,SSW,Yes,Yes
23920,ESE,E,SSW,Yes,No
23921,SE,S,SW,No,Yes
23922,ENE,NE,NNW,Yes,No
23923,ENE,S,S,No,No
23924,ESE,E,NNW,No,No
23925,S,NNE,NW,No,Yes
23926,SE,SW,S,Yes,No
23927,NE,E,NNE,No,No
23928,SE,SE,S,No,No
23929,SW,NNE,NNW,No,No
23930,SSE,SE,ESE,No,No
23931,ENE,NE,N,No,No
23932,NE,NNW,NE,No,No
23933,N,ENE,SSE,No,No
23934,SSE,ENE,S,No,No
23935,NW,NNW,WNW,No,No
23936,SSW,S,SW,No,No
23937,SE,NE,NE,No,No
23938,NE,NE,SSW,No,Yes
23939,NW,WNW,WNW,Yes,No
23940,NW,NNW,NNE,No,No
23941,SE,SSE,N,No,No
23942,SSW,SSE,SSW,No,No
23943,E,NE,NE,No,No
